ip_address,vlan,department
192.168.10.0,VLAN10,Marketing
192.168.10.1,VLAN10,Marketing
192.168.10.2,VLAN10,Marketing
192.168.10.3,VLAN10,Marketing
192.168.10.4,VLAN10,Marketing
192.168.10.5,VLAN10,Marketing
192.168.10.6,VLAN10,Marketing
192.168.10.7,VLAN10,Marketing
192.168.10.8,VLAN10,Marketing
192.168.10.9,VLAN10,Marketing
192.168.10.10,VLAN10,Marketing
192.168.10.11,VLAN10,Marketing
192.168.10.12,VLAN10,Marketing
192.168.10.13,VLAN10,Marketing
192.168.10.14,VLAN10,Marketing
192.168.10.15,VLAN10,Marketing
192.168.10.16,VLAN10,Marketing
192.168.10.17,VLAN10,Marketing
192.168.10.18,VLAN10,Marketing
192.168.10.19,VLAN10,Marketing
192.168.10.20,VLAN10,Marketing
192.168.10.21,VLAN10,Marketing
192.168.10.22,VLAN10,Marketing
192.168.10.23,VLAN10,Marketing
192.168.10.24,VLAN10,Marketing
192.168.10.25,VLAN10,Marketing
192.168.10.26,VLAN10,Marketing
192.168.10.27,VLAN10,Marketing
192.168.10.28,VLAN10,Marketing
192.168.10.29,VLAN10,Marketing
192.168.10.30,VLAN10,Marketing
192.168.10.31,VLAN10,Marketing
192.168.10.32,VLAN10,Marketing
192.168.10.33,VLAN10,Marketing
192.168.10.34,VLAN10,Marketing
192.168.10.35,VLAN10,Marketing
192.168.10.36,VLAN10,Marketing
192.168.10.37,VLAN10,Marketing
192.168.10.38,VLAN10,Marketing
192.168.10.39,VLAN10,Marketing
192.168.10.40,VLAN10,Marketing
192.168.10.41,VLAN10,Marketing
192.168.10.42,VLAN10,Marketing
192.168.10.43,VLAN10,Marketing
192.168.10.44,VLAN10,Marketing
192.168.10.45,VLAN10,Marketing
192.168.10.46,VLAN10,Marketing
192.168.10.47,VLAN10,Marketing
192.168.10.48,VLAN10,Marketing
192.168.10.49,VLAN10,Marketing
192.168.10.50,VLAN10,Marketing
192.168.10.51,VLAN10,Marketing
192.168.10.52,VLAN10,Marketing
192.168.10.53,VLAN10,Marketing
192.168.10.54,VLAN10,Marketing
192.168.10.55,VLAN10,Marketing
192.168.10.56,VLAN10,Marketing
192.168.10.57,VLAN10,Marketing
192.168.10.58,VLAN10,Marketing
192.168.10.59,VLAN10,Marketing
192.168.10.60,VLAN10,Marketing
192.168.10.61,VLAN10,Marketing
192.168.10.62,VLAN10,Marketing
192.168.10.63,VLAN10,Marketing
192.168.10.64,VLAN20,Sales
192.168.10.65,VLAN20,Sales
192.168.10.66,VLAN20,Sales
192.168.10.67,VLAN20,Sales
192.168.10.68,VLAN20,Sales
192.168.10.69,VLAN20,Sales
192.168.10.70,VLAN20,Sales
192.168.10.71,VLAN20,Sales
192.168.10.72,VLAN20,Sales
192.168.10.73,VLAN20,Sales
192.168.10.74,VLAN20,Sales
192.168.10.75,VLAN20,Sales
192.168.10.76,VLAN20,Sales
192.168.10.77,VLAN20,Sales
192.168.10.78,VLAN20,Sales
192.168.10.79,VLAN20,Sales
192.168.10.80,VLAN20,Sales
192.168.10.81,VLAN20,Sales
192.168.10.82,VLAN20,Sales
192.168.10.83,VLAN20,Sales
192.168.10.84,VLAN20,Sales
192.168.10.85,VLAN20,Sales
192.168.10.86,VLAN20,Sales
192.168.10.87,VLAN20,Sales
192.168.10.88,VLAN20,Sales
192.168.10.89,VLAN20,Sales
192.168.10.90,VLAN20,Sales
192.168.10.91,VLAN20,Sales
192.168.10.92,VLAN20,Sales
192.168.10.93,VLAN20,Sales
192.168.10.94,VLAN20,Sales
192.168.10.95,VLAN20,Sales
192.168.10.96,VLAN20,Sales
192.168.10.97,VLAN20,Sales
192.168.10.98,VLAN20,Sales
192.168.10.99,VLAN20,Sales
192.168.10.100,VLAN20,Sales
192.168.10.101,VLAN20,Sales
192.168.10.102,VLAN20,Sales
192.168.10.103,VLAN20,Sales
192.168.10.104,VLAN20,Sales
192.168.10.105,VLAN20,Sales
192.168.10.106,VLAN20,Sales
192.168.10.107,VLAN20,Sales
192.168.10.108,VLAN20,Sales
192.168.10.109,VLAN20,Sales
192.168.10.110,VLAN20,Sales
192.168.10.111,VLAN20,Sales
192.168.10.112,VLAN20,Sales
192.168.10.113,VLAN20,Sales
192.168.10.114,VLAN20,Sales
192.168.10.115,VLAN20,Sales
192.168.10.116,VLAN20,Sales
192.168.10.117,VLAN20,Sales
192.168.10.118,VLAN20,Sales
192.168.10.119,VLAN20,Sales
192.168.10.120,VLAN20,Sales
192.168.10.121,VLAN20,Sales
192.168.10.122,VLAN20,Sales
192.168.10.123,VLAN20,Sales
192.168.10.124,VLAN20,Sales
192.168.10.125,VLAN20,Sales
192.168.10.126,VLAN20,Sales
192.168.10.127,VLAN20,Sales
192.168.10.128,VLAN30,IT
192.168.10.129,VLAN30,IT
192.168.10.130,VLAN30,IT
192.168.10.131,VLAN30,IT
192.168.10.132,VLAN30,IT
192.168.10.133,VLAN30,IT
192.168.10.134,VLAN30,IT
192.168.10.135,VLAN30,IT
192.168.10.136,VLAN30,IT
192.168.10.137,VLAN30,IT
192.168.10.138,VLAN30,IT
192.168.10.139,VLAN30,IT
192.168.10.140,VLAN30,IT
192.168.10.141,VLAN30,IT
192.168.10.142,VLAN30,IT
192.168.10.143,VLAN30,IT
192.168.10.144,VLAN30,IT
192.168.10.145,VLAN30,IT
192.168.10.146,VLAN30,IT
192.168.10.147,VLAN30,IT
192.168.10.148,VLAN30,IT
192.168.10.149,VLAN30,IT
192.168.10.150,VLAN30,IT
192.168.10.151,VLAN30,IT
192.168.10.152,VLAN30,IT
192.168.10.153,VLAN30,IT
192.168.10.154,VLAN30,IT
192.168.10.155,VLAN30,IT
192.168.10.156,VLAN30,IT
192.168.10.157,VLAN30,IT
192.168.10.158,VLAN30,IT
192.168.10.159,VLAN30,IT
192.168.10.160,VLAN30,IT
192.168.10.161,VLAN30,IT
192.168.10.162,VLAN30,IT
192.168.10.163,VLAN30,IT
192.168.10.164,VLAN30,IT
192.168.10.165,VLAN30,IT
192.168.10.166,VLAN30,IT
192.168.10.167,VLAN30,IT
192.168.10.168,VLAN30,IT
192.168.10.169,VLAN30,IT
192.168.10.170,VLAN30,IT
192.168.10.171,VLAN30,IT
192.168.10.172,VLAN30,IT
192.168.10.173,VLAN30,IT
192.168.10.174,VLAN30,IT
192.168.10.175,VLAN30,IT
192.168.10.176,VLAN30,IT
192.168.10.177,VLAN30,IT
192.168.10.178,VLAN30,IT
192.168.10.179,VLAN30,IT
192.168.10.180,VLAN30,IT
192.168.10.181,VLAN30,IT
192.168.10.182,VLAN30,IT
192.168.10.183,VLAN30,IT
192.168.10.184,VLAN30,IT
192.168.10.185,VLAN30,IT
192.168.10.186,VLAN30,IT
192.168.10.187,VLAN30,IT
192.168.10.188,VLAN30,IT
192.168.10.189,VLAN30,IT
192.168.10.190,VLAN30,IT
192.168.10.191,VLAN30,IT
192.168.10.192,VLAN40,Security
192.168.10.193,VLAN40,Security
192.168.10.194,VLAN40,Security
192.168.10.195,VLAN40,Security
192.168.10.196,VLAN40,Security
192.168.10.197,VLAN40,Security
192.168.10.198,VLAN40,Security
192.168.10.199,VLAN40,Security
192.168.10.200,VLAN40,Security
192.168.10.201,VLAN40,Security
192.168.10.202,VLAN40,Security
192.168.10.203,VLAN40,Security
192.168.10.204,VLAN40,Security
192.168.10.205,VLAN40,Security
192.168.10.206,VLAN40,Security
192.168.10.207,VLAN40,Security
192.168.10.208,VLAN40,Security
192.168.10.209,VLAN40,Security
192.168.10.210,VLAN40,Security
192.168.10.211,VLAN40,Security
192.168.10.212,VLAN40,Security
192.168.10.213,VLAN40,Security
192.168.10.214,VLAN40,Security
192.168.10.215,VLAN40,Security
192.168.10.216,VLAN40,Security
192.168.10.217,VLAN40,Security
192.168.10.218,VLAN40,Security
192.168.10.219,VLAN40,Security
192.168.10.220,VLAN40,Security
192.168.10.221,VLAN40,Security
192.168.10.222,VLAN40,Security
192.168.10.223,VLAN40,Security
192.168.10.224,VLAN40,Security
192.168.10.225,VLAN40,Security
192.168.10.226,VLAN40,Security
192.168.10.227,VLAN40,Security
192.168.10.228,VLAN40,Security
192.168.10.229,VLAN40,Security
192.168.10.230,VLAN40,Security
192.168.10.231,VLAN40,Security
192.168.10.232,VLAN40,Security
192.168.10.233,VLAN40,Security
192.168.10.234,VLAN40,Security
192.168.10.235,VLAN40,Security
192.168.10.236,VLAN40,Security
192.168.10.237,VLAN40,Security
192.168.10.238,VLAN40,Security
192.168.10.239,VLAN40,Security
192.168.10.240,VLAN40,Security
192.168.10.241,VLAN40,Security
192.168.10.242,VLAN40,Security
192.168.10.243,VLAN40,Security
192.168.10.244,VLAN40,Security
192.168.10.245,VLAN40,Security
192.168.10.246,VLAN40,Security
192.168.10.247,VLAN40,Security
192.168.10.248,VLAN40,Security
192.168.10.249,VLAN40,Security
192.168.10.250,VLAN40,Security
192.168.10.251,VLAN40,Security
192.168.10.252,VLAN40,Security
192.168.10.253,VLAN40,Security
192.168.10.254,VLAN40,Security
192.168.10.255,VLAN40,Security
